ugly_commits,files,commits,ccp,refactor_mle,avg_coupling_code_size,authors,same_day_duration_avg,bug_prev_touch_ago,one_file_fix_rate,typo_rate,tangling_rate,bingo_rate,performance_rate,security_rate
,80843094,7.146059810625256,0.084945548386502284,0.1844450549217207,1922.0448127266059,2.5845624735738082,100.04616569402903,161682.96566304305,0.08252412632420339,0.0029335169949916405,0.10013627456234046,0.013524649746347255,0.0080553942008472941,0.010746442266726232
1,136540,92.52565548557196,0.328307368445111,0.41446006707633481,1123.1210189456426,19.72936135930863,124.46241355583459,87157.283789217123,0.099773376715275947,0.012588953835949209,0.3184614645292681,0.070618741269087071,0.046463658285726628,0.047972129179880883
2,13913,310.05225328829152,0.3735614701997379,0.36775116082339232,2373.0506806058843,56.17695680299002,123.06658758436778,66710.828552321545,0.10036037122919282,0.048484327494683913,0.371592807630071,0.11154786966077113,0.069699877510078043,0.065618306082022335
3,2954,640.06770480704176,0.37240897817745283,0.31065612744581333,2953.3286614807766,106.6662153012864,107.31246967857665,16691.130310317221,0.10553099703654775,0.0068175875275638892,0.36065584118926725,0.082636508909078144,0.029087394254111571,0.02155210781461573
4,1315,849.96730038022827,0.31755996123920038,0.27266039093059979,2417.8165069591159,121.5338403041825,99.988092516041732,14199.246306595795,0.10844677798605984,0.0040303606501114007,0.327040420620085,0.073651587888310652,0.024817806449791761,0.015945509256118349
5,433,1319.0207852193996,0.37484852582941353,0.28636074059451461,2701.6640547893626,167.70207852194,97.43737467492322,7358.2875964587629,0.1189442820614474,0.0047146586845152969,0.36388414893366028,0.078443293483180909,0.027959068934855322,0.019503064247206391
6,230,1518.2478260869568,0.37402451798697761,0.30662449498840766,2198.4167957607283,183.82608695652166,96.009844344677589,5667.4503109299349,0.15227483491481419,0.005231834763022445,0.346757254304689,0.070456150732265216,0.030770797575474115,0.021128003481498712
7,114,3027.385964912281,0.37284774136269005,0.2862997827948206,2041.9339852010062,234.82456140350877,102.59738485368919,5559.0727660572047,0.15670301975509768,0.0054876571035359185,0.32966152644814706,0.067431896861149879,0.027656536498619062,0.019201780362196608
8,84,2111.5714285714284,0.35816818702119924,0.27030429538187256,1808.1514123589957,234.22619047619045,95.884442778203024,5160.0531466984539,0.17924840383659049,0.0040583273177164656,0.30603299371877218,0.0600014776861973,0.029203272186517075,0.020167074103791583
9,27,2539.1851851851848,0.36567827631524796,0.28907879150407317,1641.6796050035964,251.55555555555554,104.4633161457305,11089.054383224235,0.19139569005392718,0.0050052405738758871,0.31229765920582059,0.063036456338636818,0.0271170837824723,0.014388846388245835
10,34,1932.294117647059,0.33751284243391116,0.20112058312317951,1305.8708392060926,186.5,85.523161066757382,2745.1418552343575,0.13546933119258528,0.0039939087777105991,0.26905780486747582,0.044263996132110683,0.022232835823112307,0.018936839471542139
11,24,3213.583333333333,0.38748317279317418,0.29279341369796447,1509.7113176533703,306.16666666666669,100.27168507179037,2720.2415079551392,0.1903765917726439,0.0051530858241006046,0.31221465394685222,0.060885571143792672,0.031597031778212936,0.018906643276155408
12,15,2873.6666666666665,0.34636819797550844,0.27915607757456773,1294.5680923086975,263.53333333333336,100.00831039756667,3965.1650980186605,0.15633087767618459,0.0036619825623647583,0.30163913592162761,0.050255622276275377,0.031432831188450652,0.014398115318082265
13,13,2145.3846153846152,0.3619326394934968,0.28899782734840634,1024.4488089965412,182.76923076923077,91.617931026984181,3673.0104419705503,0.26232450496998766,0.0046601657446117871,0.25239580184738492,0.046041239465442974,0.026686825789333169,0.017095974327907555
14,12,2312.7499999999995,0.28080013037416535,0.24040579798279646,862.48778114905883,223.41666666666669,96.003992384687237,5522.2963722696213,0.18249718277425184,0.0045075801764356983,0.24824698184979543,0.043252378269048153,0.027601290063087369,0.012661343439115021
15,5,12402.0,0.55223811186888516,0.30584241257900679,1362.0361630821135,434.2,98.39483065625798,1597.2801399997797,0.17707527906572579,0.0057788962653039849,0.38868328536531638,0.075841711116561725,0.030237506178140729,0.0213970873685211
16,3,5908.6666666666661,0.54507280645432243,0.28282335959722477,5.7326001095321537,222.66666666666666,145.95241132420352,2820.7959183673461,0.31807711105482683,0.0039926760583499496,0.25552418958201017,0.041247442744375445,0.025385975243555604,0.01435793247342124
17,4,30198.25,0.56385660833840379,0.22212586377034454,13.913917152868564,544.75,138.11805027506551,,0.22854773012972882,0.0021798723073738159,0.29174230871205475,0.028524789368532769,0.020341522475891174,0.029727551593753683
18,1,55296.0,0.073315013744212967,0.13323697916666666,0.6718815982625852,3426.0,104.08335821341106,,0.03718340219148554,0.0020797164351851745,0.064742476851851846,0.0039966724537037037,0.003146701388888889,0.0050636574074074073
19,4,2316.0,0.097026414871386038,0.10900133777311821,452.50471221616772,72.75,28.630299668024488,,0.11240670350060927,0.0021402927368130357,0.11745898958966521,0.027181157374259239,0.00956895065608309,0.015508205303147411
20,4,6183.0000000000009,0.26188375145677045,0.24529205857117009,546.2669533238859,729.0,60.579750202896889,3182.5568869081235,0.18440834297354775,0.0077949671055082183,0.21644256096600989,0.052591909141952248,0.023813077472654164,0.009761824794098083
22,1,5032.0,0.41728517488076317,0.41138950715421296,1702.1197798640305,569.0,76.034919416730531,,0.072053525476067942,0.0069554848966613412,0.38394276629570745,0.0910174880763116,0.057034976152623214,0.023449920508744039
23,1,6305.0,0.46304996034892948,0.48169611419508318,1269.6265491600138,396.0,74.061976047903826,,0.13350785340314136,0.0085646312450436222,0.39682791435368753,0.09659000793021412,0.037430610626486914,0.012053925455987312
24,3,11001.333333333332,0.46573122336445893,0.20887759423578173,9.6480347425517188,148.33333333333331,105.59567443626474,1812.2242424242422,0.31748541313758705,0.0021860699729277736,0.23442486521193384,0.0360331906257676,0.014831290547117484,0.011440485884627202
26,1,58.0,0.15975862068965518,0.055172413793103448,1.3124999999999993,12.0,35.2820512820513,,0.0,0.0,0.13793103448275862,0.0,0.017241379310344827,0.0
29,1,28521.0,0.94938561060271387,0.36379965639353462,4.3534798534798576,256.0,166.29021205068537,,0.46490447748549157,0.0045229830651099239,0.33228147680656356,0.052101959959328217,0.024192700115704218,0.017916622839311384
38,1,7449.0,0.52416874748288356,0.43420405423546782,1064.2525562372196,403.0,71.787420770356022,836.06983319197093,0.31665253039298841,0.0064438179621425819,0.40542354678480336,0.0797422472815143,0.028057457376829104,0.0065780641696872059
44,1,433.0,0.099494226327944565,0.041648960739030016,0.48684210526315835,33.0,81.23582089552238,,0.018867924528301886,0.0,0.090069284064665134,0.0023094688221709007,0.0,0.013856812933025405
152,1,171.0,0.001327485380116955,-0.034,71.103658536585385,41.0,31.918238993710695,29747.714285714283,0.5714285714285714,0.0,0.0058479532163742687,0.0,0.0,0.0058479532163742687